countryA,countryB,troopsA,troopsB,modA,modB,winner,gdp_loss_A,gdp_loss_B
BRA,GER,78737,123951,55.22,61.66,GER,4361368315118.38,4975652521620.01
CHN,GBR,139157,140095,90.28,58.71,CHN,8492109363116.39,9857984938029.1
FRA,GER,37048,143884,63.67,93.77,FRA,2783572526960.01,14438475627226.74
RUS,IND,181396,132225,68.06,57.11,IND,18063117208279.8,5449556949859.43
CAN,GER,137912,143350,54.03,71.76,GER,7562378315615.74,11162140633619.31
GBR,GER,89517,176190,67.58,94.42,GER,9027893104804.03,19567306521012.5
BRA,RUS,155597,147602,99.54,57.39,BRA,10074254008526.21,11876419334373.62
CAN,IND,131443,59866,69.85,56.38,CAN,10445927047701.48,4687474885135.62
USA,FRA,62634,91523,83.48,84.63,USA,6159269636054.43,11125350391311.47
GBR,CAN,71491,141996,56.04,66.58,CAN,3251797352325.39,12679647242964.99
RUS,GER,132416,29546,96.12,71.79,RUS,10839118519625.49,2207574211005.76
IND,GBR,15565,63305,91.39,81.28,GBR,2056098846455.62,6941923136262.35
CHN,BRA,90483,112833,69.31,68.95,CHN,6973864146559.78,9508540220145.2
JPN,CHN,116234,160025,67.42,89.99,CHN,10043143453864.28,17827295291646.17
RUS,GBR,82053,176655,71.61,98.45,GBR,7203998560951.67,11383249234441.31
CHN,FRA,24287,14462,70.06,96.65,CHN,1890467152127.98,949988027414.67
CAN,IND,87365,10888,62.9,77.27,CAN,3010817577444.69,572355638653.84
JPN,IND,143494,97868,99.54,67.74,JPN,16607559128942.36,4701545804182.76
GER,CAN,39060,95509,90.53,71.69,GER,2987609644985.38,6285478374824.43
FRA,CHN,51633,121946,63.4,66.51,FRA,3171937452161.61,6613216603209.13
USA,GER,115251,77259,99.09,72.09,USA,15433319015008.06,3058088170741.17
GBR,JPN,23790,33410,50.78,50.65,JPN,1774159187573.3,2071309909881.28
RUS,JPN,141059,18602,71.89,52.76,RUS,12111715088715.21,886485969238.06
USA,BRA,166240,28614,78.47,88.57,USA,9549096116488.81,1464676389236.49
IND,GBR,165091,132142,51.88,66.74,GBR,7003348387795.64,11368543722144.71
CHN,BRA,184811,135085,58.05,89.72,CHN,6846047431295.71,6296862249193.03
CHN,GER,13668,28444,62.91,74.0,CHN,929195382910.0,2230767192220.74
RUS,GER,86280,63050,86.01,90.3,RUS,10611495048263.02,7157327239526.35
BRA,CHN,38754,78149,96.99,83.18,CHN,4927334434364.04,5672146074781.78
BRA,JPN,196686,131703,81.23,60.05,BRA,16673340637709.64,8494592348914.41
GER,JPN,95058,118308,78.13,72.39,GER,10705523230365.85,4716018330655.32
FRA,BRA,14509,98618,76.84,85.22,BRA,1557155025432.12,6194082131671.93
JPN,CAN,143572,126490,67.54,66.53,CAN,8349127899773.62,9792139725178.32
IND,JPN,128981,54866,91.39,59.67,IND,12373773566979.34,4224104363776.35
USA,CAN,85440,198311,77.04,76.99,CAN,5239147230244.23,9380161643778.75
BRA,CAN,36921,129401,61.51,63.68,BRA,1155335206356.57,12082696907697.86
GER,FRA,64551,116034,56.84,79.72,FRA,3490081084851.59,8274190094474.35
GER,CHN,26683,53211,99.28,63.59,GER,3311506909269.94,4820117526578.2
RUS,BRA,87952,144076,50.87,95.33,BRA,5074775860218.49,14279840429967.4
IND,RUS,24833,73789,96.67,67.2,RUS,3425300822791.42,5672506446532.11
CAN,GER,28290,84522,60.92,95.37,GER,2043432844813.5,5448663493346.72
JPN,CAN,24003,74084,82.88,63.97,CAN,1275658165033.76,6562882845562.42
FRA,CHN,133086,109032,65.08,80.22,FRA,6641249906072.96,5138480371994.87
GBR,GER,81656,36269,92.99,56.51,GBR,4748363384978.93,3048626407015.61
RUS,GER,51253,89709,77.17,88.92,GER,5121080352811.42,7115040571167.4
JPN,CAN,192097,123145,57.05,60.01,JPN,15899172137383.07,4909903050010.0
GBR,CAN,98022,31118,63.49,93.2,GBR,4519975028157.52,3206900339477.32
GBR,FRA,163778,24089,66.02,72.62,GBR,13682785498315.68,2389153956651.8
IND,FRA,97231,129682,94.3,54.73,IND,8590913012917.67,6366781738398.25
IND,CAN,114791,52956,88.34,68.18,IND,8672118114035.19,1836210940706.61
USA,JPN,183804,101601,91.48,88.99,JPN,25000888008318.8,12406768500203.25
GER,BRA,42716,89226,52.61,53.81,BRA,1901029774719.16,5192154851899.94
JPN,BRA,16880,154812,78.94,81.29,BRA,1547063018013.68,7460719297231.11
RUS,GER,38949,118605,99.96,75.36,RUS,4721783297191.24,12567796649233.18
CHN,IND,76064,114749,89.26,65.49,IND,8643194637871.24,9568604666734.0
RUS,BRA,53093,117133,56.04,87.78,RUS,4052089824627.29,10617691843146.74
USA,JPN,163916,137974,83.94,52.62,USA,14669937391722.05,6873988890413.04
FRA,JPN,163432,81160,87.27,74.88,FRA,15751005041001.43,7328785740845.23
GER,USA,97941,96078,75.71,75.34,GER,8981007331725.72,6240998729259.65
CHN,BRA,137668,53779,53.94,54.32,BRA,4818306695083.67,3373654856444.96
BRA,RUS,134240,161567,51.73,56.8,RUS,4861719982476.07,5973491322538.39
FRA,CHN,53322,49602,96.89,70.48,CHN,6531924176665.5,2245994753223.03
IND,CHN,161776,150105,62.88,76.83,CHN,6458727098922.62,9353141105791.9
GBR,JPN,193718,194175,68.95,52.66,GBR,15873824546622.67,14170181702448.18
BRA,CAN,58181,161514,89.76,50.59,CAN,2780560256845.12,11033049956434.57
RUS,IND,171661,13247,84.46,59.63,RUS,12143611031187.61,783689649352.03
RUS,IND,97972,191440,98.43,74.39,RUS,11207773700595.05,15458595526267.48
IND,GER,122431,141012,54.64,52.01,IND,8072759434535.03,8270466035030.93
USA,CHN,100179,196316,85.35,86.66,CHN,9662357721547.32,14855710704151.03
JPN,FRA,93562,116284,54.11,57.6,FRA,4766803403504.82,8045923286321.71
BRA,RUS,150284,166546,50.01,88.63,RUS,5671691563645.24,16357439004652.07
BRA,IND,154922,146658,56.01,60.24,IND,9660546545994.71,7547566981260.06
CAN,JPN,49767,66228,80.84,67.33,CAN,2755631584035.3,3495441999727.2
FRA,RUS,17322,17940,83.81,73.95,RUS,813366708565.46,1964589212934.45
GER,USA,45911,28606,71.92,67.36,GER,1715614082776.9,1511337016250.55
FRA,RUS,187652,117753,52.3,51.18,RUS,7535191143317.76,4062323990458.02
JPN,GER,191694,50747,81.7,95.43,GER,8300315834007.07,6463088546073.29
RUS,BRA,15678,175354,54.29,64.32,BRA,637705684172.88,14785388480636.72
RUS,FRA,75265,67760,57.09,56.8,FRA,3391761103508.01,2843394548013.74
RUS,USA,76918,12883,75.63,56.63,RUS,4915158518599.25,983888140628.42
CAN,BRA,162852,177666,67.02,98.73,BRA,13244072759020.0,24762060847996.81
RUS,JPN,168578,79875,73.24,56.15,RUS,11621687226577.78,3730560108511.04
JPN,CHN,183368,98209,81.75,67.33,JPN,22266204546175.85,5478613235676.32
IND,RUS,180954,156498,58.0,53.38,RUS,15190582882971.1,5270947548029.45
GER,IND,70510,157558,94.65,86.77,GER,9887894373204.6,15187056689042.94
JPN,USA,52202,86085,77.97,79.84,USA,3713138355973.32,8206044213005.66
GER,IND,142777,13993,51.1,76.68,GER,3970812609515.49,615224288162.63
JPN,GBR,97983,153291,81.42,92.79,GBR,10852501967298.03,10083584181517.92
RUS,IND,181802,13708,73.16,78.67,RUS,12434402641919.89,830792030066.64
IND,CHN,100016,38788,85.08,97.78,IND,9710779154303.01,3587992546507.74
BRA,FRA,41051,11495,89.2,81.14,BRA,4919386794032.28,1234596121770.3
FRA,JPN,127282,177232,96.94,67.72,FRA,13663056824080.58,8692023634587.7
GBR,BRA,87665,120002,99.92,51.84,GBR,10834340653988.16,8133962351205.15
IND,USA,134559,148609,77.48,86.26,USA,7806259329026.71,17817138081502.6
BRA,IND,191539,176625,78.08,68.68,BRA,10394189237310.92,8498208683282.92
USA,IND,171857,163275,51.12,79.96,IND,9271298765951.75,19490270359577.55
JPN,FRA,132827,135114,93.26,93.82,JPN,14096019302915.55,12888420846344.86
USA,CAN,39402,128347,51.44,50.38,CAN,2780158688574.46,6801575176874.56
BRA,CAN,12704,195104,81.63,87.98,CAN,1370381153779.04,19157861310266.78
IND,BRA,37027,81124,54.93,71.76,IND,3028511111576.27,7584657724590.97
JPN,CAN,69092,113106,64.29,56.2,JPN,6513626873634.93,7331121547725.08
GBR,JPN,15725,47659,57.02,79.12,JPN,1007321015263.68,4656546373825.45
RUS,FRA,74105,121064,56.87,76.63,FRA,4228958761667.45,8717878513299.1
JPN,CAN,166295,74043,53.73,92.12,JPN,11263891155339.25,7434073829811.09
JPN,GER,102305,13525,65.89,76.08,GER,5132637805451.5,768730632445.39
IND,FRA,168456,14777,71.18,91.37,IND,10220953019586.33,1165496652885.21
IND,JPN,72993,186863,73.22,77.22,JPN,6772553075920.41,16329159557748.7
BRA,GER,107681,98853,71.99,72.35,GER,11239390078967.2,3869169813075.99
CHN,CAN,118033,172573,76.18,68.56,CAN,12547466628970.26,12761809401847.63
JPN,USA,40027,135409,92.99,58.68,USA,2132222941377.21,8349525449872.07
FRA,CAN,153839,75258,81.59,79.2,FRA,9186794942870.0,4093093622912.03
JPN,GER,97017,130942,50.86,77.21,GER,3815993276716.88,14492985958419.18
BRA,USA,28354,86185,58.65,98.79,USA,1468650017321.16,4969520584168.41
GER,USA,58777,33719,67.45,70.62,USA,2262563081485.38,1313315865833.79
USA,FRA,162973,122181,97.45,71.08,FRA,11607938888250.24,11821111802053.48
RUS,JPN,59966,139420,53.9,58.19,RUS,3931066902743.86,10874358992971.27
CHN,CAN,26515,76686,85.51,79.88,CHN,1687812891316.05,5489984071136.43
GBR,GER,165878,169506,51.65,92.39,GBR,12360233538749.21,23106307970060.4
GBR,JPN,108698,30520,68.13,62.4,GBR,6835299929796.45,2809776686226.18
GBR,GER,13573,66881,88.51,50.45,GER,720409371927.26,2108931270508.98
IND,GER,183013,142582,67.2,84.57,GER,16511952373040.92,11811144898440.59
GBR,IND,115410,38546,71.51,51.57,GBR,11682755818650.18,1099965062019.93
RUS,FRA,53915,23982,95.27,70.46,RUS,7335109798003.65,1449492453493.77
USA,RUS,194852,79451,53.31,80.64,RUS,10324199903950.75,3662437052650.33
GBR,RUS,15060,29636,76.38,69.3,GBR,1634055992113.64,1357111951747.11
JPN,RUS,190166,199159,68.31,63.03,JPN,15708086757016.35,17481967508693.58
JPN,GBR,139471,152029,98.19,89.96,JPN,9526275981878.94,18386522792411.59
IND,FRA,197971,46706,89.68,65.05,IND,18344257498853.99,4125494732962.48
RUS,GER,65421,127199,56.1,59.0,GER,3423880338750.38,3997603700926.0
USA,FRA,55610,109377,96.37,69.42,FRA,5096850054208.98,8118267804098.08
CHN,GER,20933,72871,60.56,56.58,GER,1157842243771.55,5253383455697.81
BRA,JPN,82168,140448,54.24,84.52,JPN,3009605778027.16,14145722251175.88
USA,RUS,53898,71737,77.08,85.5,RUS,3697587513451.3,6137508684005.56
BRA,IND,15589,50975,86.83,50.74,IND,1369862727437.5,1608082903889.33
GER,FRA,21612,107364,85.8,84.74,FRA,1456926612851.52,11590986311227.49
BRA,GBR,57611,115687,76.7,64.95,GBR,2990952454836.72,10443362979443.35
FRA,USA,28888,169201,74.64,82.81,USA,1505472356683.38,10766305801946.43
JPN,CAN,29417,47939,98.48,85.32,CAN,2007468210045.46,4252314722030.61
RUS,IND,55440,75059,91.03,63.89,IND,4777859974995.44,4749474630659.63
CAN,CHN,176816,18298,84.93,59.27,CHN,10648485858022.86,1337370936476.53
IND,CAN,21891,129002,59.76,91.32,IND,1592529990335.27,16799112120281.1
FRA,BRA,82131,16480,90.99,86.96,FRA,6244628740123.03,1365888889268.0
BRA,GBR,72093,78393,87.49,91.86,GBR,9078696463272.64,6930871794226.64
GBR,GER,191366,14349,99.6,71.79,GBR,10725791941774.39,747912349651.76
RUS,GBR,38557,76964,56.65,72.82,GBR,1769134805139.29,3806750840337.32
FRA,USA,121129,49491,85.76,67.21,FRA,12864728027980.51,1791468892066.75
IND,GBR,93817,134888,98.95,74.95,IND,10999034092796.74,13321109060386.62
JPN,CAN,12192,187850,73.13,82.33,CAN,820832652411.19,13955678989369.0
RUS,USA,186104,98699,86.67,90.73,USA,22100920295206.75,5133103426668.41
IND,RUS,190923,168749,98.77,59.16,RUS,10774467992684.16,10493506307713.08
GER,GBR,183933,106440,77.37,70.27,GBR,14361157280725.74,6248112527773.79
GER,BRA,44946,91254,84.95,73.06,GER,2674359330473.79,9810321758622.15
IND,CAN,59884,90345,51.0,74.4,CAN,2669318552955.67,6370782393517.5
FRA,GER,56360,154344,75.98,77.1,FRA,5134883183093.1,7172987019230.02
RUS,IND,73252,152900,62.79,90.09,IND,2754969979562.98,15678588260351.1
FRA,BRA,138651,54431,56.56,94.31,FRA,4264480386671.02,6639886417596.7
CHN,GBR,51472,148928,85.43,57.96,GBR,4049119034392.5,9333368147892.6
BRA,RUS,45455,21223,51.95,85.63,RUS,1821782141447.31,2316877978549.59
CHN,BRA,38672,49413,95.24,73.96,BRA,4495476954053.68,2922433960006.46
GER,BRA,13756,66822,75.89,70.89,BRA,590392247730.77,4884856223645.93
JPN,IND,116927,45689,82.41,55.67,JPN,14131437241359.44,3375123950524.02
USA,BRA,80030,197468,62.67,53.21,USA,5621266348619.3,6043140288425.46
BRA,CHN,68151,22637,59.11,98.89,CHN,4033480567470.87,1700059153588.18
GER,USA,44047,187606,62.19,82.12,USA,2499638496277.78,17360776776983.1
FRA,CHN,143293,84038,61.61,72.62,CHN,11027402283489.35,6139827212057.36
FRA,IND,15164,25266,93.23,88.09,IND,1210555079848.69,2825730365535.21
FRA,JPN,43622,58068,89.37,54.56,FRA,4978010285452.71,2148393542537.04
JPN,RUS,45980,109625,92.64,80.37,RUS,5156873686613.44,11871094933051.58
CHN,GER,192810,185428,86.74,83.03,GER,17583847045521.94,17221443492042.26
USA,GER,129528,96295,82.18,72.6,USA,14781432119474.98,4917062292255.01
FRA,CAN,94688,156118,76.39,62.63,FRA,6119497375045.47,5441268743892.35
CAN,JPN,164684,136069,63.27,97.73,JPN,5812927292871.43,19707014753742.08
BRA,IND,88066,35270,85.27,65.06,BRA,6579591358892.57,2165975833233.45
RUS,CAN,129947,129693,56.83,56.24,RUS,10156554966563.06,5598683573214.34
CAN,FRA,98660,86342,75.55,81.52,FRA,4303349272372.99,4788497293924.32
USA,RUS,118115,130324,59.76,78.72,RUS,8916589221612.24,7634497147348.0
JPN,FRA,43043,47988,75.24,87.74,FRA,4291808376591.85,4167193858681.95
USA,RUS,131886,134291,64.7,87.69,RUS,7917676337955.41,15931627497421.4
RUS,JPN,87831,62179,52.67,81.01,RUS,3213130366187.19,3568808764983.43
BRA,IND,76250,45892,75.19,60.38,BRA,4904577455049.91,2405600596580.85
RUS,FRA,179894,126441,59.09,94.36,RUS,9550940740385.12,15477356065426.62
IND,JPN,76345,170584,58.06,62.41,JPN,6348371514453.33,12397160987015.52
BRA,JPN,193950,116490,69.22,54.7,BRA,10533469046729.8,3368860364484.56
USA,GER,95898,146171,68.09,65.07,GER,9615620314010.88,7136953018452.9
FRA,IND,141108,63487,93.35,74.16,FRA,8019464742292.64,2953984530997.76
USA,CHN,173474,105847,78.23,60.36,USA,20004336511348.52,3458240907946.32
USA,BRA,100034,100845,92.73,66.68,BRA,6709502311570.75,9731909427436.98
BRA,JPN,103923,60003,57.34,75.68,BRA,3979267084302.58,5090778609126.88
IND,CAN,20273,121292,67.87,66.15,CAN,853157466972.59,8358291453695.16
USA,RUS,166102,76886,77.77,54.47,USA,10543751508889.13,5695555193794.5
CAN,USA,137419,21739,57.66,59.86,USA,8846612902545.76,1420347300582.23
GER,IND,62460,96838,56.4,89.71,IND,4108889929311.32,9362270707583.07
GBR,FRA,120803,114034,83.07,97.72,GBR,8730099391554.36,7821247866966.23
GBR,USA,86939,22384,82.69,57.42,GBR,5253517599203.19,1440069668780.57
USA,FRA,160111,174166,61.71,84.05,FRA,14771062713120.78,17098178095224.96
CAN,FRA,24017,143192,61.36,95.28,FRA,1135530527359.16,18846283465380.2
FRA,RUS,92901,142065,87.27,64.96,RUS,7120901043249.66,8539176871636.36
JPN,GER,123000,97295,55.85,91.47,JPN,6738814559115.64,6264853390439.66
JPN,FRA,49215,28150,96.16,95.25,JPN,5866562018341.04,2866931155104.98
BRA,IND,22583,74681,97.19,64.97,IND,1431199489184.22,7145423174404.19
GBR,RUS,173991,55388,93.55,52.84,GBR,12470205828072.24,1683654691150.55
USA,FRA,57025,124082,60.53,95.84,FRA,5167234054833.8,5987279771738.08
JPN,RUS,185326,61116,50.84,66.52,JPN,12485635391740.8,2178860011527.97
USA,CAN,187347,196825,96.83,50.69,USA,17123429480384.18,13282130012656.64
BRA,CAN,67943,111085,67.2,73.75,CAN,2779076105327.11,4105225254734.8
GBR,GER,150586,180859,65.52,55.79,GER,13484592799394.48,7281043936859.87
RUS,GER,179488,45673,63.08,95.09,RUS,14527199197638.94,6434021839711.68
GER,IND,11511,149362,62.23,57.75,IND,774088816646.89,10746020324646.89
GER,IND,159714,70123,86.73,65.22,GER,12528198155518.81,3287434901985.6
JPN,CHN,92151,26627,95.39,89.52,CHN,12620080553614.12,1720798512685.27
GER,IND,192966,83474,89.3,90.32,GER,13711152667648.96,7225109248683.49
RUS,JPN,34225,199916,83.71,95.06,JPN,2351768956028.17,10946472085154.91
USA,RUS,161918,72904,64.39,74.87,USA,14340712402106.84,6293765802253.52
BRA,CAN,39152,113798,77.35,99.34,CAN,3410943062959.52,11265821409524.77
RUS,USA,116053,78245,61.85,75.81,RUS,10414110012712.28,5452801060142.29
BRA,CHN,76107,168701,55.58,89.54,CHN,4843023631115.18,14957863666747.4
BRA,CHN,191426,120958,56.01,68.1,BRA,5715080094759.31,6357546995903.23
GBR,GER,134387,124673,80.19,97.06,GBR,7293348234350.33,8634870794897.34
USA,BRA,167260,54186,51.92,84.25,USA,6789855553624.59,2595528683453.08
CAN,RUS,70910,139522,98.66,53.85,RUS,9565594194435.09,8456825129534.58
GER,CAN,52530,56537,99.77,55.43,GER,6975136969108.03,3115044309262.62
CAN,GBR,88753,40832,57.47,94.54,CAN,6581628639516.52,4675025856983.04
GBR,FRA,51999,33472,71.37,90.48,FRA,3909588453685.42,4222855665853.95
BRA,IND,16609,189922,88.4,66.5,IND,938184081995.23,18858114454025.51
JPN,CAN,199841,125735,97.75,76.08,CAN,12330586175226.34,6958685413738.27
GER,JPN,188469,96298,94.57,92.64,JPN,11158693153478.75,5958637189848.24
GER,IND,59322,19507,62.74,55.17,GER,5041499201503.11,1519753901693.92
USA,GBR,15151,65696,54.26,56.91,GBR,527418267865.77,3370643458904.59
IND,CHN,16406,66373,64.44,85.78,CHN,1383302813740.56,7420777528391.25
CHN,CAN,72678,25979,71.86,54.11,CHN,7023327280231.99,893103072227.93
CHN,IND,57062,156121,68.0,67.63,IND,2347556689039.86,8392051510030.63
CHN,GBR,174028,69081,88.69,62.59,CHN,21640121785599.77,2209769906761.99
IND,BRA,121377,34997,62.89,88.01,BRA,10667864409856.18,4589190850943.02
USA,JPN,63830,197216,92.93,50.12,JPN,6751690506861.26,4998239829132.84
IND,JPN,23133,181902,61.28,55.77,JPN,1436072878748.69,6813568621057.29
CHN,GBR,22209,95721,68.07,54.95,GBR,1734397215217.44,5562404687122.81
GBR,BRA,119828,31746,72.39,65.9,GBR,7848740286012.46,2825232600117.88
RUS,USA,84681,19603,64.56,61.62,USA,5951795176162.55,1563250993070.91
BRA,FRA,64345,86977,88.32,61.41,FRA,8351107939674.44,4023091528887.24
IND,GER,52585,14570,70.48,68.52,IND,2272883789775.54,1377936345922.97
USA,GER,44638,173388,94.35,60.7,GER,3090472320080.44,5995396454238.66
USA,RUS,30645,61604,98.18,55.31,USA,3081189259557.06,2834374966739.35
CAN,BRA,28408,28467,92.99,79.16,CAN,2003993509668.46,1719498127633.87
RUS,FRA,22521,88381,76.13,97.59,RUS,2559430937827.64,9969055070200.68
JPN,GBR,97414,185710,75.49,80.36,GBR,8973653308554.57,8032676222254.24
GER,CHN,138432,129851,60.79,87.85,GER,7860143929951.53,15449811341126.4
CHN,GBR,133520,168015,79.61,98.61,CHN,14911209157256.44,24211453656182.36
JPN,CAN,48221,13340,97.64,57.66,JPN,3034133084332.12,566300408340.91
CAN,JPN,110131,53532,54.03,72.99,CAN,4688360726105.49,5477959935245.57
CHN,GER,162158,199990,87.62,79.09,CHN,20686990963552.61,22243518265618.04
RUS,CAN,26923,54188,93.48,66.11,CAN,2660060852952.73,4034813531702.88
CAN,IND,91761,25211,99.34,80.66,CAN,12949478705034.84,2047640253424.3
CHN,USA,17202,23496,66.74,81.19,USA,1703907428209.74,2431682724295.22
RUS,CHN,105675,104381,67.78,92.11,CHN,6161382155096.62,9788111540849.18
FRA,USA,178278,198320,61.49,91.63,USA,11800529019230.61,22609882987966.65
JPN,BRA,160957,182217,89.45,57.13,JPN,19389865355502.78,6170604494039.25
JPN,CAN,120443,113704,57.0,58.44,JPN,5305245817718.69,5217905112149.25
GER,FRA,21218,39672,63.39,61.12,GER,1273359807541.43,2168495072147.45
RUS,CHN,55692,91481,64.76,63.06,CHN,2356385326265.5,4067388106310.01
IND,GER,193761,177099,68.75,78.22,IND,15352250161447.92,10118376672977.49
FRA,CAN,107148,177323,71.08,66.37,CAN,3840160162355.31,14849632749854.35
GBR,RUS,16716,160475,77.95,97.65,RUS,1236980086049.87,10554894897287.83
CHN,CAN,26088,35150,97.42,55.92,CAN,3632112202507.58,1203111244872.89
FRA,CHN,41001,85762,62.36,62.32,CHN,3572882617865.75,4171123134724.74
RUS,FRA,163656,188012,88.96,93.42,RUS,18981592438753.51,11592667202867.1
BRA,CHN,141022,60476,83.82,79.22,BRA,7578754259440.67,3368326108532.13
CHN,BRA,14286,112708,55.8,77.37,BRA,813345887494.76,11187992584462.78
USA,CAN,145811,44202,90.52,79.72,USA,16090980916316.18,3315989872953.96
JPN,GER,40158,18729,54.53,62.61,JPN,1316473588706.7,1095393277910.45
RUS,FRA,110393,33938,86.95,88.07,RUS,6210114841241.38,3063298564569.41
USA,GBR,15605,85302,85.79,74.83,GBR,723008942449.88,3760220980204.62
GER,IND,66492,83920,84.47,52.13,IND,4622863303832.86,6506003011029.1
CAN,BRA,13321,35762,63.83,58.86,BRA,1171193562825.29,2835524108462.77
GBR,USA,185613,169796,78.67,90.83,USA,14711028633880.88,12226593457236.17
GBR,FRA,192773,100586,88.08,67.25,FRA,22977497044118.15,3766206271577.3
USA,RUS,22170,30653,81.88,88.67,USA,1059483038999.64,3036962727097.04
JPN,CAN,66045,154579,90.22,83.17,CAN,3313409421378.9,14040336561990.18
GER,BRA,150005,82914,84.39,65.07,GER,16506787359420.38,4370003133760.67
BRA,JPN,150978,183845,63.72,56.35,JPN,9599049722961.33,8708520664279.02
JPN,FRA,120540,121291,57.65,90.35,FRA,6747444009694.92,11240701393099.07
FRA,CAN,164886,45205,81.6,82.15,FRA,13126896957205.28,5121976429756.39
GBR,GER,111101,21571,87.99,65.04,GER,8612952412615.41,854712333790.37
FRA,BRA,10818,178392,57.12,76.16,BRA,856635427332.51,13720462324413.02
CHN,BRA,18434,126042,58.74,80.6,BRA,1105568380648.01,9518416175916.85
IND,CAN,131494,58853,50.6,50.11,IND,9807323703656.78,2849778244320.9
RUS,JPN,197225,171262,76.59,83.53,RUS,20339222750273.34,20166235326083.71
GER,USA,40571,128088,77.11,82.8,USA,3871882633577.39,11076522972865.69
JPN,IND,50694,99116,75.0,54.13,IND,4320137833182.62,6410823293413.72
GBR,BRA,104426,177594,65.8,89.39,BRA,9174332596313.93,22425703367904.15
FRA,JPN,128792,54489,71.39,91.25,FRA,12704368906842.66,3989858429031.81
CAN,GER,55485,142909,88.31,64.51,GER,3102869067399.28,7916175624867.18
CHN,IND,153141,63763,59.09,58.11,CHN,7779863036996.5,2692187220827.0
RUS,GBR,67198,92945,60.08,84.32,RUS,5270202849819.74,9027661716873.2
RUS,BRA,108316,66964,83.35,56.17,BRA,6511962582866.26,2835149588346.79
JPN,BRA,179734,140349,93.35,92.9,JPN,18223446984701.66,9579251734004.28
GER,BRA,98970,66398,67.02,74.01,GER,8493147662633.53,7305695845697.88
BRA,FRA,193241,92597,96.64,95.49,BRA,13519013162451.12,10587080582269.77
CAN,JPN,82928,104522,52.88,82.11,JPN,3955826126112.22,11280161067382.69
JPN,CAN,157174,63198,55.93,64.25,CAN,12439019303898.62,5964481882111.31
FRA,BRA,174529,95741,73.0,73.4,FRA,10905696572317.19,10337959417386.97
IND,JPN,97798,176215,86.17,76.47,JPN,9310215481397.0,11225821748599.21
USA,GER,62290,59427,68.54,90.76,USA,3987024234860.54,5494636910234.73
BRA,USA,132664,147931,77.74,93.09,USA,14201282657630.06,19602103637047.63
GER,USA,153004,55507,51.43,84.15,GER,7271906361752.14,2455200813556.82
CHN,GER,21766,175428,73.09,64.71,GER,1366957464112.42,16076443794913.27
BRA,CHN,98247,96501,62.13,76.43,CHN,4109632628736.51,10015819744055.75
GBR,JPN,23292,72570,75.82,56.53,JPN,1499730460574.9,3971122375706.26
GER,USA,188703,153926,76.29,61.51,USA,16837449038542.08,9627500001842.01
IND,CHN,82944,174085,87.66,65.15,CHN,4913618290848.02,6211671191703.44
GBR,JPN,116446,41654,76.99,53.64,GBR,10806685810303.72,2358852550298.31
BRA,FRA,44533,136905,80.71,94.25,FRA,1835476046329.04,8040100964409.52
USA,RUS,90773,164126,76.48,56.13,RUS,6018847645809.05,7037907143397.65
USA,RUS,134433,83728,99.52,84.84,RUS,12922875508877.73,9263458833440.14
IND,BRA,146850,70254,89.58,75.28,IND,7841942281609.64,5313660826027.28
RUS,FRA,45059,186278,87.78,91.59,FRA,4683555725232.9,21358295633488.89
CAN,GBR,132418,177091,81.36,87.05,GBR,6494056026005.86,22072763237474.28
CHN,JPN,145938,26281,76.42,87.99,CHN,6579471088838.07,1551974307789.16
RUS,BRA,83965,15863,67.24,70.92,RUS,4900026230234.73,854419703943.89
USA,CAN,70661,62203,89.2,91.7,USA,7804806477515.04,6200104182976.91
USA,GBR,53352,46539,59.48,54.74,GBR,4644828184013.58,3692699308227.42
FRA,IND,120051,183160,51.83,72.22,IND,7939302058166.71,16922574706866.86
GBR,CHN,98373,72438,84.91,99.73,GBR,8068760832288.24,8230756540297.95
BRA,RUS,191808,26077,57.24,97.41,BRA,8482798890608.33,2995158954886.98
CHN,USA,44075,166345,95.19,54.11,USA,3362376780096.7,8394595358439.56
IND,USA,101931,133968,88.53,78.65,USA,7072383410788.06,9522090836790.89
BRA,GER,34104,41052,80.11,65.78,GER,2126492336663.9,4015200544692.9
FRA,GBR,75827,77955,65.7,86.42,FRA,2834979113622.47,9138189511358.14
USA,IND,79222,154590,81.9,86.79,IND,4674291579964.02,16917231621869.16
IND,BRA,142714,148468,73.84,50.0,IND,6406586806683.63,9055287500730.25
USA,RUS,107013,94548,64.56,92.29,RUS,3505183388408.28,9311535685517.65
CHN,IND,72845,181149,97.25,61.18,IND,5565566857115.58,9188502576171.26
GBR,USA,18769,21981,58.09,98.3,GBR,929208266057.94,2015550802083.04
BRA,JPN,105369,108989,87.67,95.27,JPN,13186079797458.82,5802926383805.68
BRA,CHN,60375,78292,90.0,59.53,CHN,8122661449972.15,2746741320849.45
RUS,BRA,173150,74842,97.59,81.82,RUS,18239970740996.16,5415853696817.62
IND,CAN,22268,146095,77.47,64.82,CAN,2416865029686.86,5830434105056.8
CAN,FRA,151916,31219,76.74,55.15,CAN,13036955349903.5,1546219847492.22
FRA,CHN,84174,120862,96.01,93.7,CHN,8062346041902.22,8079286074612.4
CAN,CHN,112677,158166,90.05,59.04,CAN,5506655355720.31,7937871227647.9
RUS,CAN,152305,47853,88.18,71.05,RUS,7314216038400.42,2989329748528.49
